-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 11:36:48 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 11:36:50 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 11:37:19 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 11:37:22 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 11:48:08 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " USER1 " Logged into the system at Wed - 31/Jul/2013 - 12:31:02 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 13:02:23 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 13:08:18 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 13:10:53 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 13:12:38 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 13:12:40 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 13:14:58 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 13:15:02 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 15:16:25 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 16:35:13 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 17:02:24 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 17:02:32 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 17:16:30 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 17:16:35 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 17:17:40 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 17:17:46 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 17:17:51 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged Out from the system at Wed - 31/Jul/2013 - 17:17:54 From the IP 127.0.0.1 and browser = Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0 
-->User " ADMIN " Logged into the system at Wed - 31/Jul/2013 - 13:49:54 From the IP ::1 and browser = Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.72 Safari/537.36 
